,station,year_season_ext,year_season,season,tav,tmax,tmin,rad,x,y
186,5,O.2003,3.2003,3,19.91,37.1,7.1,230.98,578128,469040
187,5,O.2003,4.2003,4,10.873118279569892,37.6,-0.6,96.05806451612902,578128,469040
188,5,O.2004,1.2004,1,7.636842105263158,21.0,-1.7,154.7526315789474,578128,469040
189,5,O.2004,2.2004,2,13.837362637362638,34.1,-0.1,241.28571428571428,578128,469040
190,5,O.2004,3.2004,3,21.25,36.9,6.4,228.78,578128,469040
191,5,O.2004,4.2004,4,11.76375,29.2,-1.8,115.8425,578128,469040
192,5,O.2005,1.2006,1,-0.5600000000000003,14.4,-7.8,47.64,578128,469040
193,5,O.2005,2.2005,2,19.02777777777778,35.0,7.0,287.275,578128,469040
194,5,O.2005,3.2005,3,20.976666666666667,35.7,7.8,246.18666666666667,578128,469040
195,5,O.2005,4.2005,4,10.927956989247312,30.5,-5.9,108.8763440860215,578128,469040
196,5,O.2006,1.2006,1,9.585714285714285,22.5,-0.3,154.95714285714286,578128,469040
197,5,O.2006,1.2007,1,1.0,12.9,-5.6,67.72999999999999,578128,469040
198,5,O.2006,2.2006,2,16.4021978021978,34.0,1.6,260.3197802197802,578128,469040
199,5,O.2006,3.2006,3,20.166666666666668,35.2,8.4,217.38333333333333,578128,469040
200,5,O.2006,4.2006,4,12.366666666666665,31.3,-4.2,106.4763440860215,578128,469040
201,5,O.2007,1.2007,1,9.528571428571428,26.6,0.5,166.57142857142858,578128,469040
202,5,O.2007,1.2008,1,4.13,13.1,-3.3,67.6,578128,469040
203,5,O.2007,2.2007,2,15.432967032967033,33.4,1.3,228.5087912087912,578128,469040
204,5,O.2007,3.2007,3,19.39333333333333,34.5,7.1,249.49666666666664,578128,469040
205,5,O.2007,4.2007,4,10.95483870967742,26.9,-7.9,116.39677419354838,578128,469040
206,5,O.2008,1.2008,1,9.552380952380952,22.4,-0.5,163.66666666666666,578128,469040
207,5,O.2008,1.2009,1,3.8,13.4,-4.1,48.71818181818182,578128,469040
208,5,O.2008,2.2008,2,14.320879120879122,32.4,0.1,221.2956043956044,578128,469040
209,5,O.2008,3.2008,3,22.38235294117647,34.3,11.9,266.22941176470584,578128,469040
210,5,O.2008,4.2008,4,10.035955056179775,33.5,-2.6,103.11123595505617,578128,469040
211,5,O.2009,1.2009,1,9.938095238095238,25.2,-1.2,178.2047619047619,578128,469040
212,5,O.2009,1.2010,1,6.640000000000001,17.1,-0.9,51.81,578128,469040
213,5,O.2009,2.2009,2,15.579120879120879,36.6,0.4,242.8274725274725,578128,469040
214,5,O.2009,3.2009,3,20.73,35.3,8.7,246.82333333333332,578128,469040
215,5,O.2009,4.2009,4,11.776344086021506,30.2,-7.2,114.8989247311828,578128,469040
216,5,O.2010,1.2010,1,7.5285714285714285,21.9,-2.9,147.90952380952382,578128,469040
217,5,O.2010,1.2011,1,4.33,11.8,-5.5,76.52000000000001,578128,469040
218,5,O.2010,2.2010,2,13.464383561643835,30.7,-0.2,218.6876712328767,578128,469040
219,5,O.2010,3.2010,3,20.763333333333332,35.1,8.6,242.64333333333335,578128,469040
220,5,O.2010,4.2010,4,9.764367816091953,29.1,-7.0,106.33218390804598,578128,469040
221,5,O.2011,1.2011,1,8.604761904761904,18.3,-1.1,126.98095238095237,578128,469040
